customer_id,age,annual_income,loan_amount,credit_score,employment_years,existing_debt,loan_term_months,missed_payments,last_transaction_balance,loan_status
1001,25,45000,120000,720,3,15000,36,1,12000,1
1002,42,85000,250000,690,10,40000,60,0,35000,1
1003,29,32000,180000,580,2,25000,48,4,5000,0
1004,35,76000,150000,710,7,12000,36,0,28000,1
1005,50,92000,300000,640,15,50000,72,2,20000,1
1006,23,28000,100000,560,1,18000,24,5,3000,0
1007,31,60000,140000,730,5,10000,36,0,25000,1
1008,27,40000,160000,590,3,22000,48,3,7000,0
1009,45,110000,350000,750,18,30000,84,0,45000,1
1010,38,70000,200000,670,8,28000,60,1,18000,1
1011,26,35000,130000,540,2,26000,36,4,4000,0
1012,41,95000,280000,720,12,35000,72,0,39000,1
1013,33,58000,170000,610,6,21000,48,2,11000,1
1014,24,30000,90000,520,1,17000,24,6,2000,0
1015,48,105000,320000,760,20,25000,84,0,50000,1
1016,30,50000,150000,650,4,19000,36,1,14000,1
1017,28,37000,140000,570,2,24000,48,4,6000,0
1018,39,82000,260000,710,11,33000,60,1,31000,1
1019,22,25000,80000,510,1,16000,24,7,1500,0
1020,44,98000,290000,740,14,27000,72,0,42000,1
